start_ts,duration,start_station,end_station,subscriber,birth_year
2017-05-21 00:00:04,1196,237,505,0,0
2017-05-21 00:00:04,1740,3255,490,0,0
2017-05-21 00:00:17,944,2021,3147,1,1974
2017-05-21 00:00:17,1696,546,242,1,1989
2017-05-21 00:00:23,503,3379,3320,1,1991
2017-05-21 00:00:44,279,483,433,1,1968
2017-05-21 00:00:49,1041,284,304,1,1982
2017-05-21 00:00:50,1443,402,336,1,1971
2017-05-21 00:00:59,388,239,258,1,1991
2017-05-21 00:01:01,232,483,433,1,1968
2017-05-21 00:01:05,412,3358,3310,1,1987
2017-05-21 00:01:07,1136,474,361,1,1985
2017-05-21 00:01:08,502,3412,406,1,1947
2017-05-21 00:01:12,1122,479,380,1,1994
2017-05-21 00:01:16,221,524,3458,1,1992
2017-05-21 00:01:17,284,504,2003,1,1982
2017-05-21 00:01:18,228,401,438,1,1992
2017-05-21 00:01:24,309,458,470,1,1988
2017-05-21 00:01:24,343,3243,3156,1,1976
2017-05-21 00:01:41,350,3101,3108,1,1965
2017-05-21 00:01:44,582,3100,539,1,1986
2017-05-21 00:01:46,891,528,167,1,1989
2017-05-21 00:01:54,648,501,3458,1,1996
2017-05-21 00:01:55,1124,3429,3179,1,1992
2017-05-21 00:02:12,2202,532,3141,1,1988
2017-05-21 00:02:12,1067,2023,3263,1,1981
2017-05-21 00:02:15,442,312,2012,1,1984
2017-05-21 00:02:16,1779,532,454,1,1993
2017-05-21 00:02:17,440,360,315,1,1965
2017-05-21 00:02:27,403,3064,3241,1,1982
2017-05-21 00:02:35,1068,3156,3156,1,1972
2017-05-21 00:02:52,315,486,446,1,1973
2017-05-21 00:02:52,312,486,446,1,1970
2017-05-21 00:03:00,1069,252,450,1,1991
2017-05-21 00:02:59,120,257,79,1,1986
2017-05-21 00:03:01,1448,267,466,0,0
2017-05-21 00:03:07,664,251,247,1,1983
2017-05-21 00:03:12,1552,3064,3016,1,1983
2017-05-21 00:03:17,1762,247,3158,1,1976
2017-05-21 00:03:21,407,3102,2002,0,0
2017-05-21 00:03:27,118,280,280,0,0
2017-05-21 00:03:29,656,507,394,1,1994
2017-05-21 00:03:32,2042,247,3167,1,1980
2017-05-21 00:03:35,1388,391,83,1,1962
2017-05-21 00:03:38,515,3103,3080,1,1981
2017-05-21 00:03:42,266,403,326,1,1997
2017-05-21 00:03:47,366,448,478,1,1966
2017-05-21 00:03:51,514,3255,3224,1,0
2017-05-21 00:03:48,438,539,3086,1,1977
2017-05-21 00:03:56,1359,3458,3295,0,0
2017-05-21 00:03:59,2197,389,229,0,0
2017-05-21 00:03:59,584,3159,3178,1,1960
2017-05-21 00:04:02,793,315,349,1,1992
2017-05-21 00:04:04,672,168,488,1,1973
2017-05-21 00:04:13,872,241,3361,0,0
2017-05-21 00:04:17,1159,3064,278,1,1982
2017-05-21 00:04:18,1375,499,474,1,1967
2017-05-21 00:04:23,332,539,3091,1,1991
2017-05-21 00:04:25,1322,3458,3295,1,1958
2017-05-21 00:04:26,2324,315,450,1,1992
2017-05-21 00:04:31,548,479,494,1,1973
2017-05-21 00:04:31,828,537,380,1,1984
2017-05-21 00:04:33,585,3258,284,1,1969
2017-05-21 00:04:54,2510,151,412,0,0
2017-05-21 00:04:57,132,79,146,1,1988
2017-05-21 00:05:06,428,302,511,1,1983
2017-05-21 00:05:05,210,3086,3430,1,1977
2017-05-21 00:05:05,431,509,448,1,1969
2017-05-21 00:05:20,293,157,3440,1,1977
2017-05-21 00:05:21,216,509,212,1,1994
2017-05-21 00:05:22,212,509,212,1,1994
2017-05-21 00:05:32,269,377,3435,1,1992
2017-05-21 00:05:36,2101,389,229,0,0
2017-05-21 00:05:37,376,229,150,1,1986
2017-05-21 00:05:51,1477,339,339,1,1995
2017-05-21 00:05:53,877,442,380,1,1986
2017-05-21 00:05:54,250,236,393,1,1981
2017-05-21 00:05:57,1182,477,527,1,1994
2017-05-21 00:06:04,1228,280,526,0,0
2017-05-21 00:06:12,1228,280,526,0,0
2017-05-21 00:06:13,1560,2002,3043,1,1983
2017-05-21 00:06:16,336,252,382,1,1964
2017-05-21 00:06:13,1023,315,361,1,2000
2017-05-21 00:06:20,943,480,490,0,0
2017-05-21 00:06:33,1232,440,3390,1,1981
2017-05-21 00:06:37,333,3295,3293,1,1993
2017-05-21 00:06:35,474,3070,3091,1,1970
2017-05-21 00:06:38,399,361,439,1,1978
2017-05-21 00:06:39,731,3401,3344,1,1985
2017-05-21 00:06:45,1201,2023,526,0,0
2017-05-21 00:06:49,1068,365,3044,1,1969
2017-05-21 00:06:47,1198,2023,526,0,0
2017-05-21 00:06:50,960,380,3461,0,0
2017-05-21 00:06:53,802,490,528,1,1972
2017-05-21 00:06:57,657,474,2023,1,1983
2017-05-21 00:06:57,938,3314,3366,1,1998
2017-05-21 00:06:59,1048,437,3093,1,1956
2017-05-21 00:07:01,910,503,479,1,1988
2017-05-21 00:07:00,976,315,361,1,2000
2017-05-21 00:07:24,628,3428,2003,1,1990
2017-05-21 00:07:25,682,529,3164,1,1980
2017-05-21 00:07:31,1573,384,3456,1,1985
2017-05-21 00:07:39,606,173,518,1,1986
2017-05-21 00:07:42,1851,284,3238,1,1984
2017-05-21 00:07:43,871,3103,389,1,1986
2017-05-21 00:07:48,574,359,488,1,1986
2017-05-21 00:07:55,937,3137,441,1,1995
2017-05-21 00:07:55,190,447,513,1,1974
2017-05-21 00:07:57,512,3113,3090,1,1979
2017-05-21 00:08:20,181,3436,328,1,1987
