start_ts,duration,start_station,end_station,subscriber,birth_year
9/10/2016 00:00:06,969,216,416,1,1986
9/10/2016 00:00:15,959,216,416,1,1985
9/10/2016 00:00:29,1159,3148,174,1,1990
9/10/2016 00:00:32,369,3079,460,1,1988
9/10/2016 00:00:48,345,462,3255,1,1965
9/10/2016 00:00:48,458,265,356,1,1995
9/10/2016 00:00:49,313,296,340,1,1996
9/10/2016 00:00:52,109,3002,363,1,1974
9/10/2016 00:00:52,376,435,3258,1,1979
9/10/2016 00:00:52,681,461,380,1,1995
9/10/2016 00:00:53,750,435,514,1,1986
9/10/2016 00:01:08,1073,368,514,1,1980
9/10/2016 00:01:09,213,465,492,1,1964
9/10/2016 00:01:14,1331,455,3290,1,1992
9/10/2016 00:01:25,797,3167,3383,1,1990
9/10/2016 00:01:27,248,492,442,1,1981
9/10/2016 00:01:28,583,251,360,1,1992
9/10/2016 00:01:29,365,345,483,1,1988
9/10/2016 00:01:31,1353,305,380,1,1972
9/10/2016 00:01:42,229,387,355,1,1983
9/10/2016 00:01:44,494,2021,3258,1,1985
9/10/2016 00:01:44,534,395,278,1,1988
9/10/2016 00:01:51,475,490,472,1,1965
9/10/2016 00:01:55,109,224,306,1,1996
9/10/2016 00:02:11,484,539,3073,1,1989
9/10/2016 00:02:19,891,490,516,1,1978
9/10/2016 00:02:33,651,532,3067,0,0
9/10/2016 00:02:33,651,532,3067,0,0
9/10/2016 00:02:45,571,345,236,0,1971
9/10/2016 00:02:50,251,3263,265,1,1980
9/10/2016 00:02:56,1827,265,3058,1,1985
9/10/2016 00:03:01,4316,3344,3047,1,1987
9/10/2016 00:03:05,197,3093,3016,1,1987
9/10/2016 00:03:08,1376,405,401,1,1982
9/10/2016 00:03:10,1091,225,326,1,1990
9/10/2016 00:03:24,764,83,344,1,1985
9/10/2016 00:03:27,468,174,516,1,1986
9/10/2016 00:03:32,1245,2000,157,1,1997
9/10/2016 00:03:36,1376,507,361,1,1977
9/10/2016 00:03:39,602,295,229,1,1995
9/10/2016 00:03:38,1180,498,473,1,1985
9/10/2016 00:03:52,1421,405,312,1,1980
9/10/2016 00:03:57,1794,252,401,1,1991
9/10/2016 00:03:59,244,494,434,1,1968
9/10/2016 00:04:02,822,312,296,1,1979
9/10/2016 00:04:11,578,2021,3165,1,1991
9/10/2016 00:04:17,323,531,340,1,1963
9/10/2016 00:04:15,1160,216,216,1,1985
9/10/2016 00:04:18,1138,216,216,1,1991
9/10/2016 00:04:38,2482,2010,406,0,0
9/10/2016 00:04:42,902,3141,281,1,1981
9/10/2016 00:04:45,376,537,379,1,1988
9/10/2016 00:04:51,886,397,3429,0,0
9/10/2016 00:04:54,481,483,482,1,1992
9/10/2016 00:05:03,762,447,488,1,1991
9/10/2016 00:05:04,871,397,3429,0,0
9/10/2016 00:05:14,280,225,509,1,1985
9/10/2016 00:05:15,1442,306,532,1,1992
9/10/2016 00:05:16,937,3146,3164,1,1986
9/10/2016 00:05:19,249,2002,3090,1,1988
9/10/2016 00:05:25,962,3165,3142,1,1974
9/10/2016 00:05:38,289,3244,3263,0,0
9/10/2016 00:05:44,280,3244,3263,0,0
9/10/2016 00:06:01,1399,3295,385,1,1966
9/10/2016 00:06:03,428,488,388,1,1980
9/10/2016 00:06:03,475,490,3258,1,1978
9/10/2016 00:06:10,501,358,147,1,1991
9/10/2016 00:06:13,529,3244,434,1,1989
9/10/2016 00:06:33,541,478,519,1,1977
9/10/2016 00:06:40,457,477,449,1,1989
9/10/2016 00:06:43,203,3103,2002,1,1979
9/10/2016 00:06:46,686,482,529,1,1964
9/10/2016 00:06:52,455,528,511,1,1992
9/10/2016 00:06:55,409,3223,2006,1,1988
9/10/2016 00:06:56,270,3016,3112,1,1991
9/10/2016 00:06:58,299,537,472,1,1988
9/10/2016 00:07:01,886,379,326,1,1996
9/10/2016 00:07:06,317,353,3417,1,1991
9/10/2016 00:07:08,1137,396,3329,0,0
9/10/2016 00:07:10,1022,490,367,1,1972
9/10/2016 00:07:12,1134,396,3329,0,0
9/10/2016 00:07:22,1468,312,268,1,1983
9/10/2016 00:07:27,719,515,509,1,1981
9/10/2016 00:07:29,1068,380,376,1,1981
9/10/2016 00:07:33,2430,368,529,1,1970
9/10/2016 00:07:35,1295,3016,539,1,1977
9/10/2016 00:07:40,829,389,3086,1,1984
9/10/2016 00:07:42,506,398,323,1,1994
9/10/2016 00:07:49,1175,482,470,1,1986
9/10/2016 00:08:02,484,446,485,1,1982
9/10/2016 00:08:04,898,326,355,1,1986
9/10/2016 00:08:15,1640,236,342,1,1992
9/10/2016 00:08:27,1360,2010,295,1,1972
9/10/2016 00:08:26,856,236,332,1,1966
9/10/2016 00:08:33,762,3125,3101,1,1987
9/10/2016 00:08:34,744,539,3109,1,1983
9/10/2016 00:08:35,1319,3145,498,1,1968
9/10/2016 00:08:38,841,379,468,1,1986
9/10/2016 00:08:44,206,383,252,1,1949
9/10/2016 00:08:50,4861,3093,3148,1,1989
9/10/2016 00:08:57,1071,383,3265,1,1991
9/10/2016 00:08:58,441,2002,3079,1,1987
9/10/2016 00:09:01,93,116,470,1,1964
9/10/2016 00:09:06,323,517,498,1,1971
9/10/2016 00:09:09,814,3263,2004,1,1986
9/10/2016 00:09:23,1845,468,386,1,1981
9/10/2016 00:09:25,1365,349,3402,1,1984
9/10/2016 00:09:28,977,433,229,1,1988
9/10/2016 00:09:26,1015,383,438,1,1990
9/10/2016 00:09:33,1196,3419,275,1,1977
9/10/2016 00:09:33,4478,3145,3145,0,0
9/10/2016 00:09:38,2638,3140,264,1,1999
9/10/2016 00:09:38,1025,383,3265,1,1983
9/10/2016 00:09:39,435,3428,3259,0,1981
9/10/2016 00:09:43,4466,3145,3145,0,0
9/10/2016 00:09:43,332,444,475,1,1978
9/10/2016 00:09:42,2654,3140,327,1,1961
9/10/2016 00:09:43,527,382,394,1,1987
9/10/2016 00:09:50,1011,3243,461,1,1994
9/10/2016 00:09:50,267,3113,3117,1,1980
9/10/2016 00:09:52,623,383,251,1,1987
9/10/2016 00:09:55,587,454,3156,1,1968
9/10/2016 00:09:56,305,444,537,1,1992
9/10/2016 00:10:04,1453,490,412,1,1986
9/10/2016 00:10:03,540,247,161,0,0
9/10/2016 00:10:30,1431,490,412,1,1989
9/10/2016 00:10:15,648,297,355,1,1996
9/10/2016 00:10:16,1335,3312,527,1,1987
9/10/2016 00:10:29,1342,3147,492,1,1988
9/10/2016 00:10:38,817,3420,365,1,1991
9/10/2016 00:10:41,368,3073,3079,1,1990
9/10/2016 00:10:42,245,437,3241,1,1990
9/10/2016 00:10:50,210,2021,488,1,1988
9/10/2016 00:10:50,276,437,3241,1,0
9/10/2016 00:10:52,1625,408,349,1,1980
9/10/2016 00:10:55,384,444,325,1,1989
9/10/2016 00:11:00,628,3115,3115,1,0
9/10/2016 00:11:03,348,317,3265,1,1992
9/10/2016 00:11:04,1609,408,349,1,1981
9/10/2016 00:11:09,674,477,383,1,1990
9/10/2016 00:11:16,443,331,265,1,1980
9/10/2016 00:11:19,1386,410,3117,1,1975
9/10/2016 00:11:20,378,539,3078,1,1989
9/10/2016 00:11:21,856,334,479,1,1973
9/10/2016 00:11:27,894,468,468,1,1986
9/10/2016 00:11:29,790,3260,433,1,1988
9/10/2016 00:11:37,224,2008,3002,1,1962
9/10/2016 00:11:49,439,3224,435,1,1979
9/10/2016 00:12:04,1959,161,3108,1,1973
9/10/2016 00:12:10,661,282,3102,1,1992
9/10/2016 00:12:11,943,3377,3344,1,1984
9/10/2016 00:12:20,388,229,382,0,0
9/10/2016 00:12:22,334,3155,3141,1,1986
9/10/2016 00:12:24,177,445,511,1,1984
9/10/2016 00:12:32,445,229,382,0,0
9/10/2016 00:12:34,1306,531,323,1,1974
9/10/2016 00:12:40,696,263,317,1,1957
9/10/2016 00:12:40,1860,348,3255,0,0
9/10/2016 00:12:44,569,3324,3361,1,0
9/10/2016 00:12:45,691,263,317,1,1953
9/10/2016 00:12:46,469,3255,3428,1,1994
9/10/2016 00:12:47,1697,488,410,1,1984
9/10/2016 00:12:52,1166,3002,225,1,1978
9/10/2016 00:12:56,1859,348,3255,0,0
9/10/2016 00:12:58,1271,157,406,0,0
9/10/2016 00:13:04,626,247,426,1,1981
9/10/2016 00:13:07,678,128,147,1,1966
9/10/2016 00:13:11,830,423,453,1,0
9/10/2016 00:13:15,841,3109,3100,1,1987
9/10/2016 00:13:20,1202,157,406,0,0
9/10/2016 00:13:20,344,361,291,1,1966
9/10/2016 00:13:23,411,83,364,0,0
9/10/2016 00:13:28,787,217,276,1,1978
9/10/2016 00:13:35,624,3076,3064,1,1982
9/10/2016 00:13:37,1106,457,497,1,1980
9/10/2016 00:13:37,831,368,326,0,0
9/10/2016 00:13:51,449,394,461,1,1983
9/10/2016 00:13:53,287,3316,3374,1,1994
9/10/2016 00:13:54,305,280,438,1,1977
9/10/2016 00:13:54,546,539,3108,0,0
9/10/2016 00:13:58,1513,519,410,1,1992
9/10/2016 00:13:58,2311,519,481,1,1991
9/10/2016 00:14:11,772,368,326,0,0
9/10/2016 00:14:12,387,236,251,1,1996
9/10/2016 00:14:21,1693,116,2002,1,1988
9/10/2016 00:14:29,1074,297,385,1,1977
9/10/2016 00:14:31,204,444,497,1,1975
9/10/2016 00:14:37,1513,228,340,1,1957
9/10/2016 00:14:37,277,488,465,1,1985
9/10/2016 00:14:41,380,523,515,1,1987
9/10/2016 00:14:47,753,527,511,1,1993
9/10/2016 00:14:52,389,369,168,1,1991
9/10/2016 00:15:01,267,3258,3255,1,1981
9/10/2016 00:15:17,358,369,168,0,0
9/10/2016 00:15:22,487,3148,3153,1,1979
9/10/2016 00:15:23,834,435,466,1,1951
9/10/2016 00:15:28,443,3078,3086,1,1979
9/10/2016 00:15:29,313,3093,460,1,1990
9/10/2016 00:15:50,631,405,426,1,1988
9/10/2016 00:16:08,1379,382,387,1,1969
9/10/2016 00:16:16,1356,116,433,1,1993
9/10/2016 00:16:24,844,3122,3129,1,1984
9/10/2016 00:16:33,290,433,317,1,1982
9/10/2016 00:16:41,963,3164,3383,1,1968
9/10/2016 00:16:46,1199,3420,3416,1,1968
9/10/2016 00:16:53,1547,326,485,1,1980
9/10/2016 00:16:52,976,3223,529,0,0
9/10/2016 00:16:55,795,507,284,1,1964
9/10/2016 00:16:55,421,368,405,1,1978
9/10/2016 00:16:58,213,528,546,1,1986
9/10/2016 00:17:04,210,457,173,1,1977
9/10/2016 00:17:05,793,3122,3129,1,1991
9/10/2016 00:17:25,359,167,492,1,1985
9/10/2016 00:17:30,456,509,498,1,1988
9/10/2016 00:17:36,199,3148,3286,1,1976
9/10/2016 00:17:44,265,481,3103,1,1992
9/10/2016 00:17:44,1202,490,302,1,1997
9/10/2016 00:17:46,1491,387,387,0,0
9/10/2016 00:17:47,482,445,236,1,1989
9/10/2016 00:18:03,1470,387,387,0,0
9/10/2016 00:18:03,1502,312,3129,1,1988
9/10/2016 00:18:10,223,368,380,1,1991
9/10/2016 00:18:11,699,518,478,1,1999
9/10/2016 00:18:14,454,460,3079,1,1988
9/10/2016 00:18:18,1128,157,3061,1,1979
9/10/2016 00:18:24,1285,168,479,1,1980
9/10/2016 00:18:27,957,497,465,1,1978
9/10/2016 00:18:27,1392,442,356,1,1993
9/10/2016 00:18:31,1440,387,387,0,0
9/10/2016 00:18:39,561,244,390,1,1989
9/10/2016 00:18:45,836,349,3079,0,0
9/10/2016 00:18:47,836,349,3079,0,0
9/10/2016 00:19:04,102,433,445,1,1989
9/10/2016 00:19:27,495,278,323,0,1990
9/10/2016 00:19:26,1129,394,151,0,0
9/10/2016 00:19:37,537,3420,3405,1,1999
9/10/2016 00:19:41,419,3265,350,1,1969
9/10/2016 00:19:46,409,485,527,1,1986
9/10/2016 00:19:52,345,519,3236,0,0
9/10/2016 00:20:01,6962,344,344,0,0
9/10/2016 00:20:02,291,498,490,1,1992
9/10/2016 00:20:02,688,372,471,1,1979
9/10/2016 00:20:06,436,3049,3063,1,1988
9/10/2016 00:20:12,260,3103,3091,1,1988
9/10/2016 00:20:17,978,401,264,1,1993
9/10/2016 00:20:17,311,483,537,1,1994
9/10/2016 00:20:23,1193,284,531,1,1991
9/10/2016 00:20:22,42786,344,365,0,0
9/10/2016 00:20:37,165,2023,441,1,1975
9/10/2016 00:20:54,382,3109,3100,1,1968
9/10/2016 00:21:03,822,472,470,1,1968
9/10/2016 00:21:05,768,312,383,1,1984
9/10/2016 00:21:07,538,384,3241,1,1978
9/10/2016 00:21:07,296,3353,3353,1,1977
9/10/2016 00:21:10,2184,3353,279,1,1972
9/10/2016 00:21:20,183,383,284,1,0
9/10/2016 00:21:28,411,475,540,1,1978
9/10/2016 00:21:29,433,249,368,1,1992
9/10/2016 00:21:34,352,366,243,1,1988
9/10/2016 00:21:39,726,3163,3323,0,0
9/10/2016 00:21:42,257,444,168,1,1960
9/10/2016 00:21:43,1022,405,478,1,1996
9/10/2016 00:21:45,437,515,458,1,1981
9/10/2016 00:21:46,204,350,340,1,1990
9/10/2016 00:21:47,640,3411,3319,1,1998
9/10/2016 00:21:50,676,248,320,1,1973
9/10/2016 00:21:50,1372,329,438,1,1969
9/10/2016 00:21:51,506,382,345,1,1955
9/10/2016 00:22:01,3002,477,3323,1,1980
9/10/2016 00:22:07,1116,251,477,1,1980
9/10/2016 00:22:14,2095,3263,237,1,1997
9/10/2016 00:22:17,259,345,380,1,1992
9/10/2016 00:22:20,490,3420,3429,1,1990
9/10/2016 00:22:34,268,537,297,1,1987
9/10/2016 00:22:37,1388,476,531,0,0
9/10/2016 00:22:37,2298,251,251,1,1970
9/10/2016 00:22:38,294,505,442,1,1987
9/10/2016 00:22:44,662,517,3142,1,1970
9/10/2016 00:22:47,748,410,401,1,1964
9/10/2016 00:22:50,785,402,515,1,1978
9/10/2016 00:22:51,281,435,462,1,1991
9/10/2016 00:23:04,440,236,368,1,1995
9/10/2016 00:23:04,1354,476,531,0,0
9/10/2016 00:23:10,690,173,527,1,1982
9/10/2016 00:23:13,586,3263,3265,1,1981
9/10/2016 00:23:22,654,537,537,0,0
9/10/2016 00:23:29,46857,515,325,0,0
9/10/2016 00:23:41,654,3329,391,1,1992
9/10/2016 00:23:48,1209,377,144,1,1991
9/10/2016 00:23:52,256,2006,3158,1,1988
9/10/2016 00:24:01,307,3255,477,1,1978
9/10/2016 00:24:20,547,3107,3077,1,1987
9/10/2016 00:24:32,689,252,470,1,1989
9/10/2016 00:24:37,1338,3400,164,1,1987
9/10/2016 00:24:42,3839,515,442,0,0
9/10/2016 00:24:48,171,479,449,1,1991
9/10/2016 00:24:49,824,460,364,1,1993
9/10/2016 00:24:56,463,311,394,0,0
9/10/2016 00:25:01,1632,417,298,1,1984
9/10/2016 00:25:03,377,3365,3404,1,1961
9/10/2016 00:25:10,701,444,127,1,1985
9/10/2016 00:25:13,1662,325,363,1,1969
9/10/2016 00:25:21,220,453,482,1,1956
9/10/2016 00:25:30,540,3125,3116,1,1977
9/10/2016 00:25:40,1027,2012,3243,1,1991
9/10/2016 00:25:54,1632,380,393,1,1991
9/10/2016 00:26:00,724,507,380,1,1986
9/10/2016 00:26:11,1483,401,262,1,1973
9/10/2016 00:26:22,335,3092,389,1,1990
9/10/2016 00:26:24,888,345,500,1,0
9/10/2016 00:26:47,236,3382,3388,1,1984
9/10/2016 00:26:50,892,537,529,1,1986
9/10/2016 00:27:01,529,3265,247,0,0
9/10/2016 00:27:05,361,238,368,1,1988
9/10/2016 00:27:19,394,462,3255,1,1989
9/10/2016 00:27:25,1055,490,393,1,1985
9/10/2016 00:27:25,1038,302,150,1,1992
9/10/2016 00:27:28,1023,3341,3161,1,1969
9/10/2016 00:27:38,272,3170,3164,1,1985
9/10/2016 00:27:42,1409,2002,3429,1,1991
9/10/2016 00:27:43,665,3285,422,1,1984
9/10/2016 00:27:49,137,212,212,1,1989
9/10/2016 00:27:52,509,345,161,1,1963
9/10/2016 00:27:53,1068,389,511,1,1979
9/10/2016 00:28:10,728,383,462,1,1984
9/10/2016 00:28:17,618,401,507,1,1997
9/10/2016 00:28:32,759,3068,3111,1,1995
9/10/2016 00:28:41,480,3095,3090,1,1983
9/10/2016 00:28:43,1611,349,2004,0,0
9/10/2016 00:28:48,431,3087,3109,1,1990
9/10/2016 00:28:52,331,143,321,1,2000
9/10/2016 00:29:01,1806,3116,3146,1,1992
9/10/2016 00:29:08,351,369,3263,1,1986
9/10/2016 00:29:09,762,383,3265,1,1973
9/10/2016 00:29:26,599,472,345,1,1982
9/10/2016 00:29:29,310,143,321,1,1954
9/10/2016 00:29:29,1716,349,507,1,1992
9/10/2016 00:29:35,602,3260,3428,1,1992
9/10/2016 00:29:36,974,515,518,1,1992
